datetime,temperature,pressure,altitude,rssi
Thu Jun 22 11:33:44 2023,21.6,95817,469.01,-31
Thu Jun 22 11:33:59 2023,21.6,95816,468.75,-31
Thu Jun 22 13:45:38 2023,18.2,95592,489.33,-29
Thu Jun 22 13:45:40 2023,18.2,95591,488.55,-26
Thu Jun 22 13:45:43 2023,18.2,95591,488.2,-26
Thu Jun 22 13:45:46 2023,18.2,95592,488.72,-22
Thu Jun 22 13:45:48 2023,18.2,95586,488.9,-25
Thu Jun 22 13:45:53 2023,18.2,95589,488.2,-24
Thu Jun 22 13:45:58 2023,18.2,95589,488.81,-25
Thu Jun 22 13:46:03 2023,18.2,95594,489.07,-27
Thu Jun 22 13:46:06 2023,18.2,95586,489.07,-27
Thu Jun 22 13:46:09 2023,18.2,95589,488.98,-26
Thu Jun 22 13:46:12 2023,18.2,95583,489.07,-26
Thu Jun 22 13:46:14 2023,18.2,95581,488.9,-27
Thu Jun 22 13:46:17 2023,18.2,95590,488.98,-26
Thu Jun 22 13:46:22 2023,18.2,95580,489.24,-27
Thu Jun 22 13:46:27 2023,18.1,95578,489.68,-27
Thu Jun 22 13:46:31 2023,18.2,95581,489.86,-27
Thu Jun 22 13:46:36 2023,18.2,95574,489.59,-26
Thu Jun 22 13:46:41 2023,18.2,95578,489.68,-26
Thu Jun 22 13:46:46 2023,18.2,95584,489.68,-25
Thu Jun 22 13:46:51 2023,18.2,95583,489.59,-26
Thu Jun 22 13:46:56 2023,18.2,95583,489.24,-26
Thu Jun 22 13:47:08 2023,18.2,95579,489.59,-27
Thu Jun 22 13:47:10 2023,18.2,95574,489.86,-26
Thu Jun 22 13:47:15 2023,18.1,95583,489.24,-26
Thu Jun 22 13:47:18 2023,18.2,95585,489.33,-27
Thu Jun 22 13:47:25 2023,18.2,95575,489.24,-28
Thu Jun 22 13:47:28 2023,18.2,95583,489.33,-26
Thu Jun 22 13:47:33 2023,18.2,95582,489.94,-23
Thu Jun 22 13:47:38 2023,18.3,95573,489.86,-27
Thu Jun 22 13:47:47 2023,18.4,95581,489.68,-25
Thu Jun 22 13:47:50 2023,18.4,95578,489.68,-27
Thu Jun 22 13:47:53 2023,18.3,95572,490.47,-29
Thu Jun 22 20:08:24 2023,18.3,95405,505.49,-40
Thu Jun 22 20:08:29 2023,18.3,95400,504.97,-33
Thu Jun 22 20:08:37 2023,18.4,95401,505.4,-33
Thu Jun 22 20:08:41 2023,18.4,95402,505.23,-29
Thu Jun 22 20:08:46 2023,18.4,95396,505.14,-29
Thu Jun 22 20:08:54 2023,18.5,95399,504.7,-50
Thu Jun 22 20:08:58 2023,18.5,95399,505.23,-37
Thu Jun 22 20:09:03 2023,18.50,95397,505.58,-39
